tanggal_penyampaian,jenis_laporan,tahun_laporan,bidang,lembaga,unit_kerja,nama,jabatan,nhk,harta_tanah_dan_bangunan,harta_alat_transportasi_dan_mesin,harta_bergerak_lainnya,surat_berharga,harta_kas_dan_setara_kas,harta_lainnya,sub_total,hutang,total_harta_kekayaan
15 Maret 2023,Periodik,2022,EKSEKUTIF,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",SEKRETARIAT JENDERAL,MUHAMAD HEIKAL,STAF KHUSUS BIDANG KOMUNIKASI DAN MEDIA,800828,11000000000,-,260000000,765000000,152736175,-,12177736175,1926577662,10251158513
23 Maret 2022,Periodik,2021,EKSEKUTIF,KEMENTERIAN LUAR NEGERI,INSPEKTORAT JENDERAL,H.A. IBNU WIWOHO WAHYUTOMO,INSPEKTUR JENDERAL,638625,2190000000,280000000,42600000,-,5823646909,-,8336246909,-,8336246909
27 Maret 2023,Khusus - Awal Menjabat,2023,EKSEKUTIF,KEMENTERIAN LUAR NEGERI,DIREKTORAT JENDERAL AMERIKA DAN EROPA,UMAR HADI,DIREKTUR JENDERAL AMERIKA DAN EROPA,405610,-,-,-,251375000,1615031971,-,1866406971,-,1866406971
31 Maret 2021,Periodik,2020,EKSEKUTIF,KEMENTERIAN DALAM NEGERI,PIMPINAN TERTINGGI,M. TITO KARNAVIAN,MENTERI DALAM NEGERI,191175,8297741000,-,260000000,-,9541596881,-,18099337881,-,18099337881
29 Maret 2022,Periodik,2021,EKSEKUTIF,KEMENTERIAN AGAMA,PIMPINAN TERTINGGI,YAQUT CHOLIL QOUMAS,MENTERI,36278,9320500000,1270000000,220754500,-,1263575991,-,12074830491,300000000,11774830491
15 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN DALAM NEGERI,DIREKTORAT JENDERAL POLITIK DAN PEMERINTAHAN UMUM,LA ODE AHMAD PB,DIREKTUR,694029,1630000000,180000000,-,-,229000000,-,2039000000,-,2039000000
30 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN KESEHATAN,PIMPINAN TERTINGGI,BUDI GUNADI SADIKIN,MENTERI KESEHATAN,92423,99000000000,850000000,3918687181,71715426451,6931031630,-,182415145262,-,182415145262
13 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN SOSIAL,STAF AHLI,ASEP SASA PURNAMA,STAF AHLI MENTERI BIDANG TEKNOLOGI KESEJAHTERAAN SOSIAL,140709,628900000,164500000,184500000,-,47745959,-,1025645959,-,1025645959
17 Februari 2023,Periodik,2022,EKSEKUTIF,BADAN PENGAWASAN KEUANGAN DAN PEMBANGUNAN (BPKP),PUSAT PENDIDIKAN DAN PELATIHAN PENGAWASAN,ARIEF TRI HARDIYANTO,KEPALA PUSAT PENDIDIKAN DAN PELATIHAN PENGAWASAN,56422,4411845000,157050000,169078000,200000000,4432378876,-,9370351876,-,9370351876
16 Februari 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN AGAMA,DIREKTORAT JENDERAL PENDIDIKAN ISLAM,MUHAMMAD ALI RAMDHANI,DIREKTUR JENDERAL,434485,4563420000,78000000,700000,-,1849110959,127700000,6618930959,2179660,6616751299
